date,id,temp count,temp mean,temp std,temp min,temp max,dwpt count,dwpt mean,dwpt std,dwpt min,dwpt max,rhum count,rhum mean,rhum std,rhum min,rhum max,prcp count,prcp mean,prcp std,prcp min,prcp max,snow count,snow mean,snow std,snow min,snow max,wdir count,wdir mean,wdir std,wdir min,wdir max,wspd count,wspd mean,wspd std,wspd min,wspd max,wpgt count,wpgt mean,wpgt std,wpgt min,wpgt max,pres count,pres mean,pres std,pres min,pres max,tsun count,tsun mean,tsun std,tsun min,tsun max,location,region,name
1.0,D5395,2.0,-1.4,0.0,-1.4,-1.4,2.0,-2.1500000000000004,0.0707106781186548,-2.2,-2.1,2.0,94.5,0.7071067811865476,94.0,95.0,2254.0,0.066282165039929,0.2313409112029219,0.0,3.3,0.0,,,,,2.0,234.5,16.263455967290593,223.0,246.0,2.0,4.85,0.2121320343559641,4.7,5.0,0.0,,,,,2.0,1012.8,0.2828427124746029,1012.6,1013.0,0.0,,,,,"(50.7676, 11.981, 340)",TH,Harth-Pöllnitz Neundorf
5.0,D6109,2232.0,13.147894265232974,5.6232305390827655,-0.8,30.5,2232.0,6.913127240143369,4.219772956724545,-3.5,16.4,2232.0,68.99820788530467,18.89673265617977,25.0,100.0,2232.0,0.0542562724014336,0.436038750294099,0.0,11.9,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1860.0,25.996236559139785,25.91849032545868,0.0,60.0,"(53.3837, 14.3728, 50)",MV,Grambow-Schwennenz
11.0,D0735,0.0,,,,,0.0,,,,,0.0,,,,,2158.0,0.0278035217794253,0.1688157072655865,0.0,3.7,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(52.1692, 12.7334, 52)",BB,Brück-Gömnigk
7.0,D1964,2232.0,19.241039426523297,5.558213211556702,6.7,39.1,2232.0,11.393324372759857,2.976916310308531,3.7,19.2,2232.0,64.65725806451613,21.03868075809289,18.0,100.0,2232.0,0.0391577060931899,0.5666028803882847,0.0,16.6,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(49.9445, 6.3821, 328)",RP,Olsdorf
1.0,D1844,3.0,-2.4333333333333336,0.3055050463303894,-2.7,-2.1,3.0,-4.233333333333333,0.152752523165195,-4.4,-4.1,3.0,87.33333333333333,1.1547005383792517,86.0,88.0,2256.0,0.1111258865248226,0.4121926337213147,0.0,8.0,0.0,,,,,3.0,281.0,7.937253933193772,272.0,287.0,3.0,2.6333333333333333,0.2309401076758502,2.5,2.9,0.0,,,,,3.0,1012.4,0.1999999999999886,1012.2,1012.6,0.0,,,,,"(47.9411, 11.9004, 517)",BY,Feldkirchen-Westerham-Lenzmühle
9.0,D0561,0.0,,,,,0.0,,,,,0.0,,,,,2160.0,0.0854166666666666,0.4864017599376085,0.0,9.7,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(53.367, 7.9679, 11)",NI,Bockhorn-Grabstede
7.0,D3650,0.0,,,,,0.0,,,,,0.0,,,,,2232.0,0.0615591397849462,0.4689277344830815,0.0,11.4,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(51.763, 10.0416, 212)",NI,Northeim-Imbshausen
1.0,D4224,2.0,-3.1500000000000004,0.0707106781186548,-3.2,-3.1,2.0,-3.65,0.0707106781186548,-3.7,-3.6,2.0,96.0,0.0,96.0,96.0,2256.0,0.0753102836879432,0.2801288765819864,0.0,4.3,0.0,,,,,2.0,18.0,4.242640687119285,15.0,21.0,2.0,5.9,1.2727922061357857,5.0,6.8,0.0,,,,,2.0,1012.65,0.0707106781186708,1012.6,1012.7,0.0,,,,,"(49.2412, 12.4124, 388)",BY,Roding-Neubäu
4.0,10321,2160.0,10.947037037037038,5.5206497290420575,-3.9,26.9,2160.0,4.245092592592592,4.010622069537374,-5.6,14.7,2160.0,66.77083333333333,19.71324726874412,24.0,100.0,2160.0,0.0309259259259259,0.2137190783271664,0.0,4.7,1986.0,0.0,0.0,0.0,0.0,2160.0,163.58796296296296,101.76691276212686,0.0,360.0,2160.0,13.058888888888893,7.467938242262211,0.0,45.7,2160.0,23.04722222222222,12.309148556307896,0.0,73.0,2160.0,1015.8257407407408,8.940947453631713,995.1,1033.2,2160.0,19.403703703703705,25.971266860676646,0.0,60.0,"(52.5833, 8.35, 39)",NI,Diepholz
9.0,10946,2160.0,14.025787037037038,5.195100199017431,-0.3,27.3,2160.0,9.933148148148147,3.2725369654409118,-1.9,16.8,2160.0,78.97824074074074,17.467868700047536,26.0,100.0,2160.0,0.1383333333333333,0.7691498407565956,0.0,23.8,711.0,0.0,0.0,0.0,0.0,2160.0,166.8564814814815,94.54543868689824,0.0,360.0,2160.0,5.934814814814815,2.796708010356992,1.1,22.3,2160.0,14.158796296296297,7.565570488611075,3.0,74.0,2160.0,1019.3402777777778,6.418392682649305,1000.8,1038.8,2160.0,16.741666666666667,24.831268015078965,0.0,60.0,"(47.7167, 10.3333, 705)",BY,Kempten
2.0,10564,2040.0,1.1592647058823529,5.28328561263428,-15.5,15.7,2040.0,-2.8764215686274515,4.769398112014058,-17.5,8.8,2040.0,76.51666666666667,15.30512665991958,16.0,100.0,2040.0,0.0428921568627451,0.2487604742578128,0.0,5.2,1768.0,7.403846153846154,14.844671220231165,0.0,60.0,2040.0,197.11470588235292,78.52673956863235,10.0,360.0,2040.0,16.72975490196078,8.923684503000882,1.1,55.4,2005.0,30.74029925187033,15.610636053480844,3.0,98.0,2040.0,1019.332156862745,11.1620172015963,990.4,1044.4,1945.0,8.487917737789203,18.824344600087915,0.0,60.0,"(50.5667, 11.8167, 501)",TH,Schleiz
9.0,D3435,0.0,,,,,0.0,,,,,0.0,,,,,2064.0,0.0811046511627907,0.4961622378420889,0.0,9.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(48.5235, 11.8398, 475)",BY,Nandlstadt
8.0,D3034,2232.0,18.051433691756277,5.673545971973286,3.9,32.7,2232.0,11.969668458781364,3.395470956829555,0.6,20.4,2232.0,71.74193548387096,21.172249909276225,19.0,100.0,2232.0,0.0830645161290322,0.6083314574546885,0.0,18.5,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"(50.4505, 11.635, 500)",TH,"Lobenstein, Bad"
1.0,D0211,2235.0,3.7975838926174497,4.395458659533997,-8.2,14.7,2235.0,0.987874720357942,3.63702864330869,-9.4,10.7,2235.0,82.92930648769575,11.62428135118632,37.0,99.0,2256.0,0.0881205673758865,0.2971271396557923,0.0,4.8,0.0,,,,,2235.0,204.98523489932887,74.05206530775246,10.0,360.0,2235.0,15.34040268456376,8.540129130604846,1.1,51.5,0.0,,,,,3.0,1013.0666666666666,0.2516611478423628,1012.8,1013.3,1571.0,5.192870782940802,14.435813571569192,0.0,60.0,"(50.58, 8.4685, 200)",HE,Aßlar Klein-Altenstädten
